geography,subsector
12125,construction
12125,mining
12127,mining
12129,mining
12131,mining
12133,construction
12133,mining
13001,mining
13003,construction
13003,mining
13005,construction
13005,mining
13007,construction
13007,mining
13009,mining
13011,mining
13013,mining
13017,construction
13017,mining
13019,construction
13019,mining
13021,mining
13023,mining
13025,construction
13025,mining
13027,construction
13027,mining
13029,mining
13031,mining
13033,mining
13035,mining
13037,construction
13037,mining
13039,mining
13043,construction
13043,mining
13045,mining
13047,mining
13049,construction
13049,mining
13051,mining
13053,construction
13053,mining
13055,construction
13059,mining
13061,construction
13061,mining
13063,mining
13065,mining
13069,mining
13071,construction
13071,mining
13073,mining
13075,construction
13075,mining
13077,mining
13079,construction
13079,mining
13081,mining
13083,construction
13087,construction
13087,mining
13089,mining
13091,construction
13091,mining
13093,construction
13093,mining
13095,mining
13097,mining
13099,construction
13099,mining
13101,construction
13101,mining
13103,mining
13105,construction
13107,mining
13109,mining
13113,mining
13117,mining
13119,construction
13119,mining
13123,construction
13125,construction
13125,mining
13127,mining
13131,construction
13131,mining
13133,construction
13133,mining
13137,mining
13141,construction
13141,mining
13143,construction
13145,mining
13149,construction
13149,mining
13151,mining
13153,mining
13155,construction
13155,mining
13157,mining
13159,construction
13159,mining
13161,mining
13163,construction
13163,mining
13165,construction
13165,mining
13167,construction
13167,mining
13169,mining
13171,construction
13171,mining
13173,construction
13173,mining
13175,mining
13177,mining
13179,mining
13181,construction
13183,construction
13183,mining
13185,mining
13187,construction
13189,construction
13191,construction
13191,mining
13193,construction
13195,mining
13197,construction
13197,mining
13199,construction
13201,construction
13201,mining
13205,mining
13209,construction
13209,mining
13211,construction
13211,mining
13215,mining
13217,mining
13219,mining
13221,construction
13221,mining
13225,construction
13225,mining
13227,mining
13229,construction
13229,mining
13231,construction
13231,mining
13235,mining
13237,mining
13239,construction
13239,mining
13241,construction
13243,construction
13245,mining
13247,mining
13249,construction
13249,mining
13251,construction
13251,mining
13253,construction
13253,mining
13255,construction
13255,mining
13257,construction
13257,mining
13259,construction
13259,mining
13261,construction
13263,construction
13263,mining
13265,construction
13265,mining
13267,construction
13267,mining
13269,mining
13271,construction
13271,mining
13273,mining
13275,mining
13277,mining
13279,construction
13279,mining
13281,construction
13283,construction
13283,mining
13285,construction
13287,construction
13287,mining
13289,construction
13293,construction
13297,mining
13299,construction
13299,mining
13303,construction
13305,construction
13305,mining
13307,construction
13307,mining
13309,construction
13309,mining
13311,construction
13313,mining
13315,construction
13315,mining
13317,construction
13319,construction
13321,construction
13321,mining
15001,mining
15003,mining
15005,construction
15005,mining
15007,mining
15009,mining
16001,mining
16003,construction
16003,mining
16005,construction
16005,mining
16007,construction
16007,mining
16009,construction
16009,mining
16011,construction
16011,mining
16013,mining
16015,construction
16015,mining
16017,mining
16019,mining
16021,construction
16021,mining
16023,construction
16023,mining
16025,construction
16025,mining
16027,mining
16029,construction
16029,mining
16031,mining
16033,construction
16033,mining
16035,construction
16035,mining
16037,construction
16037,mining
16039,construction
16039,mining
16041,construction
16041,mining
16043,construction
16043,mining
16045,mining
16047,construction
16047,mining
16049,construction
16049,mining
16051,construction
16051,mining
16053,construction
16053,mining
16055,mining
16057,construction
16057,mining
16059,construction
16059,mining
16061,construction
